"Dependencies of framework:","Total number"
,21

"Dependencies for each module:",
,21
" -- Magento\Framework",57736
" -- Magento\FunctionalTestingFramework",46
" -- Magento\TestFramework",937
" -- Magento\theme",1
" -- Magento\ResourceConnections",4
" -- Magento\Setup",23
" -- Magento\Giftmessage",1
" -- Magento\SomeModule",2
" -- Magento\Importer",6
" -- Magento\EAV",1
" -- Magento\Test",3
" -- Magento\SomeWidget",1
" -- Magento\TestModule5",2
" -- Magento\ElasticSearch",6
" -- Magento\Usa",1
" -- Magento\PayPal",3
" -- Magento\ApplicationServer",2
" -- Magento\AdvancedCheckout",4
" -- Magento\RequisitionList",3
" -- Magento\AsyncOrder",6
" -- Magento\VisualMerchandiser",6
